work_index	section	work_title	source_path	source_format	source_parts	output_path	global_transposition	status	error
74	Secular works for five voices	Beltà poi che t'assenti	data/cpdl/074_belta_poi_che_t_assenti__02_belta_poi_che_t_assenti.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/074_belt_poi_che_t_assenti__quartet_plus_viole_sweetspot.musicxml	4	ok	
75	Secular works for five voices	Candida man qual neve	data/cpdl/075_candida_man_qual_neve__02_gesualdo_candida_man_qual_neve.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/075_candida_man_qual_neve__quartet_plus_viole_sweetspot.musicxml	1	ok	
76	Secular works for five voices	Candido e verde fiore	data/cpdl/076_candido_e_verde_fiore__02_candido_e_verde_fiore_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/076_candido_e_verde_fiore__quartet_plus_viole_sweetspot.musicxml	1	ok	
77	Secular works for five voices	Caro amoroso neo	data/cpdl/077_caro_amoroso_neo__01_gesualdo_caro_amoroso_neo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/077_caro_amoroso_neo__quartet_plus_viole_sweetspot.musicxml	1	ok	
78	Secular works for five voices	Che fai meco	data/cpdl/078_che_fai_meco__02_che_fai_meco_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/078_che_fai_meco__quartet_plus_viole_sweetspot.musicxml	2	ok	
79	Secular works for five voices	Che sentir deve il petto mio	data/cpdl/079_che_sentir_deve_il_petto_mio__01_5_che_sentir_deve.mid	mid	5	data/cpdl_reductions/five_voice_quartet_plus_viole/079_che_sentir_deve_il_petto_mio__quartet_plus_viole_sweetspot.musicxml	2	ok	
80	Secular works for five voices	Chiaro risplender suole	data/cpdl/080_chiaro_risplender_suole__02_chiaro_risplender_suole_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/080_chiaro_risplender_suole__quartet_plus_viole_sweetspot.musicxml	2	ok	
81	Secular works for five voices	Com'esser può ch'io viva	data/cpdl/081_com_esser_puo_ch_io_viva__01_gesualdo_come_esser_puo_ch_io_viva.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/081_com_esser_pu_ch_io_viva__quartet_plus_viole_sweetspot.musicxml	4	ok	
82	Secular works for five voices	Come vivrai cor mio	data/cpdl/082_come_vivrai_cor_mio__02_gesualdo_come_vivrai_cor_mio.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/082_come_vivrai_cor_mio__quartet_plus_viole_sweetspot.musicxml	2	ok	
83	Secular works for five voices	Cor mio, deh, non piangete	data/cpdl/083_cor_mio_deh_non_piangete__02_cor_mio_deh_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/083_cor_mio_deh_non_piangete__quartet_plus_viole_sweetspot.musicxml	4	ok	
84	Secular works for five voices	Correte, amanti, a prova	data/cpdl/084_correte_amanti_a_prova__02_gesu_13cor.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/084_correte_amanti_a_prova__quartet_plus_viole_sweetspot.musicxml	0	ok	
85	Secular works for five voices	Crudelissima doglia				data/cpdl_reductions/five_voice_quartet_plus_viole/085_crudelissima_doglia__quartet_plus_viole_sweetspot.musicxml		error	data/cpdl/085_crudelissima_doglia__01_gesualdo_crudelissima_doglia.mxl: reduction failed: Violin II has overlapping source events near measure 13: p1:e36
86	Secular works for five voices	Dalle odorate spoglie	data/cpdl/086_dalle_odorate_spoglie__02_dalle_odorate_spoglie_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/086_dalle_odorate_spoglie__quartet_plus_viole_sweetspot.musicxml	1	ok	
87	Secular works for five voices	Deh coprite il bel seno	data/cpdl/087_deh_coprite_il_bel_seno__02_gesu_16de.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/087_deh_coprite_il_bel_seno__quartet_plus_viole_sweetspot.musicxml	1	ok	
88	Secular works for five voices	Deh, come invan sospiro	data/cpdl/088_deh_come_invan_sospiro__02_deh_come_invan_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/088_deh_come_invan_sospiro__quartet_plus_viole_sweetspot.musicxml	2	ok	
89	Secular works for five voices	Deh, se già fu crudele				data/cpdl_reductions/five_voice_quartet_plus_viole/089_deh_se_gi_fu_crudele__quartet_plus_viole_sweetspot.musicxml		error	data/cpdl/089_deh_se_gia_fu_crudele__01_gesualdo_deh_se_gia_fu_crudele.mxl: reduction failed: Violin I has overlapping source events near measure 18: p0:e45
90	Secular works for five voices	Del bel de bei vostri occhi	data/cpdl/090_del_bel_de_bei_vostri_occhi__01_gesualdo_del_bel_de_bei_vostri_occhi.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/090_del_bel_de_bei_vostri_occhi__quartet_plus_viole_sweetspot.musicxml	2	ok	
91	Secular works for five voices	Dolce spirto d'amore	data/cpdl/091_dolce_spirto_d_amore__01_gesualdo_dolce_spirto_d_amore.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/091_dolce_spirto_d_amore__quartet_plus_viole_sweetspot.musicxml	1	ok	
92	Secular works for five voices	Dolcissima mia vita	data/cpdl/092_dolcissima_mia_vita__02_dolcissima_mia_vita_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/092_dolcissima_mia_vita__quartet_plus_viole_sweetspot.musicxml	2	ok	
93	Secular works for five voices	Dolcissimo sospiro	data/cpdl/093_dolcissimo_sospiro__01_gesualdo_dolcissimo_sospiro.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/093_dolcissimo_sospiro__quartet_plus_viole_sweetspot.musicxml	1	ok	
95	Secular works for five voices	Ecco, morirò dunque	data/cpdl/095_ecco_moriro_dunque__02_ecco_moriro_dunque_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/095_ecco_morir_dunque__quartet_plus_viole_sweetspot.musicxml	1	ok	
96	Secular works for five voices	Felice primavera	data/cpdl/096_felice_primavera__02_gesualdo_felice_primavera.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/096_felice_primavera__quartet_plus_viole_sweetspot.musicxml	2	ok	
97	Secular works for five voices	Felicissimo sonno	data/cpdl/097_felicissimo_sonno__02_gesu_7fel.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/097_felicissimo_sonno__quartet_plus_viole_sweetspot.musicxml	4	ok	
98	Secular works for five voices	Gelo ha madonna il seno	data/cpdl/098_gelo_ha_madonna_il_seno__01_gesualdo_gelo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/098_gelo_ha_madonna_il_seno__quartet_plus_viole_sweetspot.musicxml	6	ok	
99	Secular works for five voices	Gioite voi col canto	data/cpdl/099_gioite_voi_col_canto__02_gioite_voi_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/099_gioite_voi_col_canto__quartet_plus_viole_sweetspot.musicxml	1	ok	
100	Secular works for five voices	Già piansi nel dolore	data/cpdl/100_gia_piansi_nel_dolore__02_gia_piansi_nel_dolore_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/100_gi_piansi_nel_dolore__quartet_plus_viole_sweetspot.musicxml	2	ok	
101	Secular works for five voices	Hai rotto e sciolto e spento	data/cpdl/101_hai_rotto_e_sciolto_e_spento__02_hai_rotto_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/101_hai_rotto_e_sciolto_e_spento__quartet_plus_viole_sweetspot.musicxml	5	ok	
102	Secular works for five voices	In più leggiadro velo	data/cpdl/102_in_piu_leggiadro_velo__01_gesualdo_in_piu_leggiadro_velo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/102_in_pi_leggiadro_velo__quartet_plus_viole_sweetspot.musicxml	1	ok	
103	Secular works for five voices	Io parto, e non più dissi	data/cpdl/103_io_parto_e_non_piu_dissi__02_io_parto_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/103_io_parto_e_non_pi_dissi__quartet_plus_viole_sweetspot.musicxml	4	ok	
104	Secular works for five voices	Io pur respiro in così gran dolore	data/cpdl/104_io_pur_respiro_in_cosi_gran_dolore__02_io_pur_respiro_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/104_io_pur_respiro_in_cos_gran_dolore__quartet_plus_viole_sweetspot.musicxml	0	ok	
105	Secular works for five voices	Io tacerò	data/cpdl/105_io_tacero__02_io_tacero_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/105_io_tacer__quartet_plus_viole_sweetspot.musicxml	4	ok	
106	Secular works for five voices	Itene o miei sospiri	data/cpdl/106_itene_o_miei_sospiri__02_gesu_3ite.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/106_itene_o_miei_sospiri__quartet_plus_viole_sweetspot.musicxml	1	ok	
107	Secular works for five voices	Languisce al fin chi da la vita parte	data/cpdl/107_languisce_al_fin_chi_da_la_vita_parte__02_gesu_10la.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/107_languisce_al_fin_chi_da_la_vita_parte__quartet_plus_viole_sweetspot.musicxml	1	ok	
108	Secular works for five voices	Languisce e moro, ahi, cruda				data/cpdl_reductions/five_voice_quartet_plus_viole/108_languisce_e_moro_ahi_cruda__quartet_plus_viole_sweetspot.musicxml		error	data/cpdl/108_languisce_e_moro_ahi_cruda__01_gesualdo_languisce_e_moro_ahi_cruda.mxl: reduction failed: Violin I has overlapping source events near measure 17: p0:e17
109	Secular works for five voices	Luci serene e chiare	data/cpdl/109_luci_serene_e_chiare__01_gesualdo_luciserene.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/109_luci_serene_e_chiare__quartet_plus_viole_sweetspot.musicxml	1	ok	
110	Secular works for five voices	Ma se avverrà ch'io moia	data/cpdl/110_ma_se_avverra_ch_io_moia__01_8_ma_se_averra.mid	mid	5	data/cpdl_reductions/five_voice_quartet_plus_viole/110_ma_se_avverr_ch_io_moia__quartet_plus_viole_sweetspot.musicxml	6	ok	
111	Secular works for five voices	Ma se tale ha costei	data/cpdl/111_ma_se_tale_ha_costei__01_ma_se_tale_ha_costei.mid	mid	5	data/cpdl_reductions/five_voice_quartet_plus_viole/111_ma_se_tale_ha_costei__quartet_plus_viole_sweetspot.musicxml	1	ok	
112	Secular works for five voices	Ma tu, cagion di quella atroce pena	data/cpdl/112_ma_tu_cagion_di_quella_atroce_pena__02_gesu_18ma.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/112_ma_tu_cagion_di_quella_atroce_pena__quartet_plus_viole_sweetspot.musicxml	4	ok	
113	Secular works for five voices	Madonna, io ben vorrei	data/cpdl/113_madonna_io_ben_vorrei__02_gesualdo_madonna_io_ben_vorrei.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/113_madonna_io_ben_vorrei__quartet_plus_viole_sweetspot.musicxml	3	ok	
114	Secular works for five voices	Mentre gira costei	data/cpdl/114_mentre_gira_costei__02_mentre_gira_costei_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/114_mentre_gira_costei__quartet_plus_viole_sweetspot.musicxml	0	ok	
115	Secular works for five voices	Mentre madonna il lasso fianco posa	data/cpdl/115_mentre_madonna_il_lasso_fianco_posa__02_gesualdo_mentre_madonna_il_lasso_fianco_posa.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/115_mentre_madonna_il_lasso_fianco_posa__quartet_plus_viole_sweetspot.musicxml	1	ok	
116	Secular works for five voices	Mentre, mia stella, miri	data/cpdl/116_mentre_mia_stella_miri__01_gesualdo_mentre_mia_stella_miri.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/116_mentre_mia_stella_miri__quartet_plus_viole_sweetspot.musicxml	1	ok	
117	Secular works for five voices	Meraviglia d'Amore	data/cpdl/117_meraviglia_d_amore__01_gesualdo_meraviglia_d_amore.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/117_meraviglia_d_amore__quartet_plus_viole_sweetspot.musicxml	1	ok	
118	Secular works for five voices	Mercè grido piangendo	data/cpdl/118_merce_grido_piangendo__02_gesu_11me.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/118_merc_grido_piangendo__quartet_plus_viole_sweetspot.musicxml	0	ok	
119	Secular works for five voices	Mille volte il di	data/cpdl/119_mille_volte_il_di__02_mille_volte_il_di_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/119_mille_volte_il_di__quartet_plus_viole_sweetspot.musicxml	2	ok	
120	Secular works for five voices	Moro, e mentre sospiro	data/cpdl/120_moro_e_mentre_sospiro__02_moro_e_mentre_sospiro_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/120_moro_e_mentre_sospiro__quartet_plus_viole_sweetspot.musicxml	4	ok	
121	Secular works for five voices	Moro, lasso, al mio duolo	data/cpdl/121_moro_lasso_al_mio_duolo__02_moro_lasso_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/121_moro_lasso_al_mio_duolo__quartet_plus_viole_sweetspot.musicxml	1	ok	
123	Secular works for five voices	Non mai non cangerò stato	data/cpdl/123_non_mai_non_cangero_stato__02_gesualdo_non_mai_non_cangero.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/123_non_mai_non_canger_stato__quartet_plus_viole_sweetspot.musicxml	2	ok	
124	Secular works for five voices	Non mi toglia il ben mio	data/cpdl/124_non_mi_toglia_il_ben_mio__01_gesualdo_nonmitoglia.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/124_non_mi_toglia_il_ben_mio__quartet_plus_viole_sweetspot.musicxml	-1	ok	
125	Secular works for five voices	Non mirar, non mirare	data/cpdl/125_non_mirar_non_mirare__01_gesualdo_non_mirar_non_mirare.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/125_non_mirar_non_mirare__quartet_plus_viole_sweetspot.musicxml	4	ok	
126	Secular works for five voices	Non t'amo, o voce ingrata				data/cpdl_reductions/five_voice_quartet_plus_viole/126_non_t_amo_o_voce_ingrata__quartet_plus_viole_sweetspot.musicxml		error	data/cpdl/126_non_t_amo_o_voce_ingrata__01_gesualdo_non_t_amo_o_voce_ingrata.mxl: reduction failed: Violin I has overlapping source events near measure 6: p0:e7
127	Secular works for five voices	Non è questa la mano	data/cpdl/127_non_e_questa_la_mano__01_gesualdo_non_e_questa_la_mano.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/127_non_questa_la_mano__quartet_plus_viole_sweetspot.musicxml	0	ok	
128	Secular works for five voices	O com'è gran martire	data/cpdl/128_o_com_e_gran_martire__01_gesualdo_o_com_e_gran_martire.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/128_o_com_gran_martire__quartet_plus_viole_sweetspot.musicxml	4	ok	
129	Secular works for five voices	O dolce mio martire	data/cpdl/129_o_dolce_mio_martire__01_gesualdo_o_dolce_mio_martire.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/129_o_dolce_mio_martire__quartet_plus_viole_sweetspot.musicxml	4	ok	
130	Secular works for five voices	O dolce mio tesoro	data/cpdl/130_o_dolce_mio_tesoro__02_o_dolce_mio_tesoro_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/130_o_dolce_mio_tesoro__quartet_plus_viole_sweetspot.musicxml	0	ok	
131	Secular works for five voices	O dolorosa gioia	data/cpdl/131_o_dolorosa_gioia__02_gesu_5odo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/131_o_dolorosa_gioia__quartet_plus_viole_sweetspot.musicxml	4	ok	
132	Secular works for five voices	O mal nati messagi	data/cpdl/132_o_mal_nati_messagi__02_o_mal_nati_messagi_gesualdo.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/132_o_mal_nati_messagi__quartet_plus_viole_sweetspot.musicxml	1	ok	
134	Secular works for five voices	O tenebroso giorno	data/cpdl/134_o_tenebroso_giorno__02_gesu_19ote.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/134_o_tenebroso_giorno__quartet_plus_viole_sweetspot.musicxml	3	ok	
135	Secular works for five voices	O voi troppo felici	data/cpdl/135_o_voi_troppo_felici__02_gesu_12ovoi.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/135_o_voi_troppo_felici__quartet_plus_viole_sweetspot.musicxml	0	ok	
136	Secular works for five voices	Occhi del mio cor vita	data/cpdl/136_occhi_del_mio_cor_vita__02_gesu_9occhisattb.mxl	mxl	5	data/cpdl_reductions/five_voice_quartet_plus_viole/136_occhi_del_mio_cor_vita__quartet_plus_viole_sweetspot.musicxml	4	ok	
