work_index	section	work_title	work_url	download_index	format	local_path	download_url	source_filename
13	Sacred works for five voices	O vos omnes (1603)	https://test.cpdl.org/wiki/index.php/O_vos_omnes_(1603)_(Carlo_Gesualdo)	5	mid	data/cpdl/5-voices/sources/013_o_vos_omnes_1603__05_ws_gesu_vos.mid	https://test.cpdl.org/wiki/images/3/37/Ws-gesu-vos.mid	Ws-gesu-vos.mid
13	Sacred works for five voices	O vos omnes (1603)	https://test.cpdl.org/wiki/index.php/O_vos_omnes_(1603)_(Carlo_Gesualdo)	6	mxl	data/cpdl/5-voices/sources/013_o_vos_omnes_1603__06_ws_gesu_vos.mxl	https://test.cpdl.org/wiki/images/8/8f/Ws-gesu-vos.mxl	Ws-gesu-vos.mxl
14	Sacred works for five voices	Peccantem me quotidie	https://test.cpdl.org/wiki/index.php/Peccantem_me_quotidie_(Carlo_Gesualdo)	1	mid	data/cpdl/5-voices/sources/014_peccantem_me_quotidie__01_gesualdo_peccantum_me.mid	https://test.cpdl.org/wiki/images/c/cb/Gesualdo-Peccantum_me.mid	Gesualdo-Peccantum_me.mid
14	Sacred works for five voices	Peccantem me quotidie	https://test.cpdl.org/wiki/index.php/Peccantem_me_quotidie_(Carlo_Gesualdo)	2	mxl	data/cpdl/5-voices/sources/014_peccantem_me_quotidie__02_gesualdo_peccantum_me.mxl	https://test.cpdl.org/wiki/images/4/45/Gesualdo-Peccantum_me.mxl	Gesualdo-Peccantum_me.mxl
14	Sacred works for five voices	Peccantem me quotidie	https://test.cpdl.org/wiki/index.php/Peccantem_me_quotidie_(Carlo_Gesualdo)	3	mxl	data/cpdl/5-voices/sources/014_peccantem_me_quotidie__03_peccantem_me_quotidie_final.mxl	https://test.cpdl.org/wiki/images/2/25/Peccantem_me_quotidie_%28final%29.mxl	Peccantem_me_quotidie_(final).mxl
15	Sacred works for five voices	Precibus et meritis	https://test.cpdl.org/wiki/index.php/Precibus_et_meritis_(Carlo_Gesualdo)	1	mid	data/cpdl/5-voices/sources/015_precibus_et_meritis__01_gesualdo_precibus.mid	https://test.cpdl.org/wiki/images/f/f1/Gesualdo-Precibus.mid	Gesualdo-Precibus.mid
15	Sacred works for five voices	Precibus et meritis	https://test.cpdl.org/wiki/index.php/Precibus_et_meritis_(Carlo_Gesualdo)	2	mxl	data/cpdl/5-voices/sources/015_precibus_et_meritis__02_gesualdo_precibus.mxl	https://test.cpdl.org/wiki/images/f/f9/Gesualdo-Precibus.mxl	Gesualdo-Precibus.mxl
16	Sacred works for five voices	Reminiscere	https://test.cpdl.org/wiki/index.php/Reminiscere_(Carlo_Gesualdo)	1	mid	data/cpdl/5-voices/sources/016_reminiscere__01_gesualdo_reminiscere.mid	https://test.cpdl.org/wiki/images/e/e9/Gesualdo-Reminiscere.mid	Gesualdo-Reminiscere.mid
16	Sacred works for five voices	Reminiscere	https://test.cpdl.org/wiki/index.php/Reminiscere_(Carlo_Gesualdo)	2	mxl	data/cpdl/5-voices/sources/016_reminiscere__02_gesualdo_reminiscere.mxl	https://test.cpdl.org/wiki/images/d/d4/Gesualdo-Reminiscere.mxl	Gesualdo-Reminiscere.mxl
17	Sacred works for five voices	Sancti Spiritus Domine	https://test.cpdl.org/wiki/index.php/Sancti_Spiritus_Domine_(Carlo_Gesualdo)	1	mid	data/cpdl/5-voices/sources/017_sancti_spiritus_domine__01_gesualdo_sancti_spiritus_domine.mid	https://test.cpdl.org/wiki/images/0/0a/Gesualdo-Sancti_Spiritus_Domine.mid	Gesualdo-Sancti_Spiritus_Domine.mid
