work_index	section	work_title	target	source_path	source_format	source_parts	output_path	global_transposition	status	error
69	Secular works for five voices	Ardita zanzaretta	string_quartet	data/cpdl/5-voices/sources/069_ardita_zanzaretta__02_ardita_zanzaretta_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/069_ardita_zanzaretta.musicxml	1	ok	
70	Secular works for five voices	Ardo per te, mio bene	string_quartet	data/cpdl/5-voices/sources/070_ardo_per_te_mio_bene__02_ardo_per_te_mio_bene_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/070_ardo_per_te_mio_bene.musicxml	2	ok	
71	Secular works for five voices	Asciugate i begli occhi	string_quartet	data/cpdl/5-voices/sources/071_asciugate_i_begli_occhi__02_gesu_14asc.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/071_asciugate_i_begli_occhi.musicxml	1	ok	
72	Secular works for five voices	Baci soavi e cari	string_quartet	data/cpdl/5-voices/sources/072_baci_soavi_e_cari__02_gesualdo_baci_soavi_e_cari.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/072_baci_soavi_e_cari.musicxml	0	ok	
73	Secular works for five voices	Bella Angioletta	string_quartet	data/cpdl/5-voices/sources/073_bella_angioletta__01_gesualdo_bella_angioletta.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/073_bella_angioletta.musicxml	0	ok	
74	Secular works for five voices	Beltà poi che t'assenti	string_quartet	data/cpdl/5-voices/sources/074_belta_poi_che_t_assenti__02_belta_poi_che_t_assenti.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/074_belt_poi_che_t_assenti.musicxml	0	ok	
75	Secular works for five voices	Candida man qual neve	string_quartet	data/cpdl/5-voices/sources/075_candida_man_qual_neve__02_gesualdo_candida_man_qual_neve.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/075_candida_man_qual_neve.musicxml	0	ok	
76	Secular works for five voices	Candido e verde fiore	string_quartet	data/cpdl/5-voices/sources/076_candido_e_verde_fiore__02_candido_e_verde_fiore_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/076_candido_e_verde_fiore.musicxml	0	ok	
77	Secular works for five voices	Caro amoroso neo	string_quartet	data/cpdl/5-voices/sources/077_caro_amoroso_neo__01_gesualdo_caro_amoroso_neo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/077_caro_amoroso_neo.musicxml	-1	ok	
78	Secular works for five voices	Che fai meco	string_quartet	data/cpdl/5-voices/sources/078_che_fai_meco__02_che_fai_meco_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/078_che_fai_meco.musicxml	2	ok	
79	Secular works for five voices	Che sentir deve il petto mio	string_quartet	data/cpdl/5-voices/sources/079_che_sentir_deve_il_petto_mio__01_5_che_sentir_deve.mid	mid	5	data/cpdl/5-voices/reductions/string_quartet/079_che_sentir_deve_il_petto_mio.musicxml	0	ok	
80	Secular works for five voices	Chiaro risplender suole	string_quartet	data/cpdl/5-voices/sources/080_chiaro_risplender_suole__02_chiaro_risplender_suole_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/080_chiaro_risplender_suole.musicxml	0	ok	
81	Secular works for five voices	Com'esser può ch'io viva	string_quartet	data/cpdl/5-voices/sources/081_com_esser_puo_ch_io_viva__01_gesualdo_come_esser_puo_ch_io_viva.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/081_com_esser_pu_ch_io_viva.musicxml	0	ok	
82	Secular works for five voices	Come vivrai cor mio	string_quartet	data/cpdl/5-voices/sources/082_come_vivrai_cor_mio__02_gesualdo_come_vivrai_cor_mio.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/082_come_vivrai_cor_mio.musicxml	2	ok	
83	Secular works for five voices	Cor mio, deh, non piangete	string_quartet	data/cpdl/5-voices/sources/083_cor_mio_deh_non_piangete__02_cor_mio_deh_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/083_cor_mio_deh_non_piangete.musicxml	0	ok	
84	Secular works for five voices	Correte, amanti, a prova	string_quartet	data/cpdl/5-voices/sources/084_correte_amanti_a_prova__02_gesu_13cor.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/084_correte_amanti_a_prova.musicxml	0	ok	
85	Secular works for five voices	Crudelissima doglia	string_quartet				data/cpdl/5-voices/reductions/string_quartet/085_crudelissima_doglia.musicxml		error	data/cpdl/085_crudelissima_doglia__01_gesualdo_crudelissima_doglia.mxl: reduction failed: Violoncello has overlapping source events near measure 11: p4:e20
86	Secular works for five voices	Dalle odorate spoglie	string_quartet	data/cpdl/5-voices/sources/086_dalle_odorate_spoglie__02_dalle_odorate_spoglie_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/086_dalle_odorate_spoglie.musicxml	0	ok	
87	Secular works for five voices	Deh coprite il bel seno	string_quartet	data/cpdl/5-voices/sources/087_deh_coprite_il_bel_seno__02_gesu_16de.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/087_deh_coprite_il_bel_seno.musicxml	0	ok	
88	Secular works for five voices	Deh, come invan sospiro	string_quartet	data/cpdl/5-voices/sources/088_deh_come_invan_sospiro__02_deh_come_invan_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/088_deh_come_invan_sospiro.musicxml	0	ok	
89	Secular works for five voices	Deh, se già fu crudele	string_quartet				data/cpdl/5-voices/reductions/string_quartet/089_deh_se_gi_fu_crudele.musicxml		error	data/cpdl/089_deh_se_gia_fu_crudele__01_gesualdo_deh_se_gia_fu_crudele.mxl: reduction failed: Violin I has overlapping source events near measure 18: p0:e45
90	Secular works for five voices	Del bel de bei vostri occhi	string_quartet	data/cpdl/5-voices/sources/090_del_bel_de_bei_vostri_occhi__01_gesualdo_del_bel_de_bei_vostri_occhi.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/090_del_bel_de_bei_vostri_occhi.musicxml	0	ok	
91	Secular works for five voices	Dolce spirto d'amore	string_quartet	data/cpdl/5-voices/sources/091_dolce_spirto_d_amore__01_gesualdo_dolce_spirto_d_amore.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/091_dolce_spirto_d_amore.musicxml	0	ok	
92	Secular works for five voices	Dolcissima mia vita	string_quartet	data/cpdl/5-voices/sources/092_dolcissima_mia_vita__02_dolcissima_mia_vita_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/092_dolcissima_mia_vita.musicxml	0	ok	
93	Secular works for five voices	Dolcissimo sospiro	string_quartet	data/cpdl/5-voices/sources/093_dolcissimo_sospiro__01_gesualdo_dolcissimo_sospiro.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/093_dolcissimo_sospiro.musicxml	0	ok	
95	Secular works for five voices	Ecco, morirò dunque	string_quartet	data/cpdl/5-voices/sources/095_ecco_moriro_dunque__02_ecco_moriro_dunque_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/095_ecco_morir_dunque.musicxml	0	ok	
96	Secular works for five voices	Felice primavera	string_quartet	data/cpdl/5-voices/sources/096_felice_primavera__02_gesualdo_felice_primavera.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/096_felice_primavera.musicxml	0	ok	
97	Secular works for five voices	Felicissimo sonno	string_quartet	data/cpdl/5-voices/sources/097_felicissimo_sonno__02_gesu_7fel.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/097_felicissimo_sonno.musicxml	2	ok	
98	Secular works for five voices	Gelo ha madonna il seno	string_quartet	data/cpdl/5-voices/sources/098_gelo_ha_madonna_il_seno__01_gesualdo_gelo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/098_gelo_ha_madonna_il_seno.musicxml	2	ok	
99	Secular works for five voices	Gioite voi col canto	string_quartet	data/cpdl/5-voices/sources/099_gioite_voi_col_canto__02_gioite_voi_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/099_gioite_voi_col_canto.musicxml	0	ok	
100	Secular works for five voices	Già piansi nel dolore	string_quartet	data/cpdl/5-voices/sources/100_gia_piansi_nel_dolore__02_gia_piansi_nel_dolore_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/100_gi_piansi_nel_dolore.musicxml	0	ok	
101	Secular works for five voices	Hai rotto e sciolto e spento	string_quartet	data/cpdl/5-voices/sources/101_hai_rotto_e_sciolto_e_spento__02_hai_rotto_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/101_hai_rotto_e_sciolto_e_spento.musicxml	1	ok	
102	Secular works for five voices	In più leggiadro velo	string_quartet	data/cpdl/5-voices/sources/102_in_piu_leggiadro_velo__01_gesualdo_in_piu_leggiadro_velo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/102_in_pi_leggiadro_velo.musicxml	0	ok	
103	Secular works for five voices	Io parto, e non più dissi	string_quartet	data/cpdl/5-voices/sources/103_io_parto_e_non_piu_dissi__02_io_parto_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/103_io_parto_e_non_pi_dissi.musicxml	0	ok	
104	Secular works for five voices	Io pur respiro in così gran dolore	string_quartet	data/cpdl/5-voices/sources/104_io_pur_respiro_in_cosi_gran_dolore__02_io_pur_respiro_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/104_io_pur_respiro_in_cos_gran_dolore.musicxml	0	ok	
105	Secular works for five voices	Io tacerò	string_quartet	data/cpdl/5-voices/sources/105_io_tacero__02_io_tacero_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/105_io_tacer.musicxml	1	ok	
106	Secular works for five voices	Itene o miei sospiri	string_quartet	data/cpdl/5-voices/sources/106_itene_o_miei_sospiri__02_gesu_3ite.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/106_itene_o_miei_sospiri.musicxml	0	ok	
107	Secular works for five voices	Languisce al fin chi da la vita parte	string_quartet	data/cpdl/5-voices/sources/107_languisce_al_fin_chi_da_la_vita_parte__02_gesu_10la.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/107_languisce_al_fin_chi_da_la_vita_parte.musicxml	0	ok	
108	Secular works for five voices	Languisce e moro, ahi, cruda	string_quartet				data/cpdl/5-voices/reductions/string_quartet/108_languisce_e_moro_ahi_cruda.musicxml		error	data/cpdl/108_languisce_e_moro_ahi_cruda__01_gesualdo_languisce_e_moro_ahi_cruda.mxl: reduction failed: Violin I has overlapping source events near measure 17: p0:e17
109	Secular works for five voices	Luci serene e chiare	string_quartet	data/cpdl/5-voices/sources/109_luci_serene_e_chiare__01_gesualdo_luciserene.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/109_luci_serene_e_chiare.musicxml	0	ok	
110	Secular works for five voices	Ma se avverrà ch'io moia	string_quartet	data/cpdl/5-voices/sources/110_ma_se_avverra_ch_io_moia__01_8_ma_se_averra.mid	mid	5	data/cpdl/5-voices/reductions/string_quartet/110_ma_se_avverr_ch_io_moia.musicxml	2	ok	
111	Secular works for five voices	Ma se tale ha costei	string_quartet	data/cpdl/5-voices/sources/111_ma_se_tale_ha_costei__01_ma_se_tale_ha_costei.mid	mid	5	data/cpdl/5-voices/reductions/string_quartet/111_ma_se_tale_ha_costei.musicxml	-1	ok	
112	Secular works for five voices	Ma tu, cagion di quella atroce pena	string_quartet	data/cpdl/5-voices/sources/112_ma_tu_cagion_di_quella_atroce_pena__02_gesu_18ma.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/112_ma_tu_cagion_di_quella_atroce_pena.musicxml	2	ok	
113	Secular works for five voices	Madonna, io ben vorrei	string_quartet	data/cpdl/5-voices/sources/113_madonna_io_ben_vorrei__02_gesualdo_madonna_io_ben_vorrei.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/113_madonna_io_ben_vorrei.musicxml	2	ok	
114	Secular works for five voices	Mentre gira costei	string_quartet	data/cpdl/5-voices/sources/114_mentre_gira_costei__02_mentre_gira_costei_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/114_mentre_gira_costei.musicxml	0	ok	
115	Secular works for five voices	Mentre madonna il lasso fianco posa	string_quartet	data/cpdl/5-voices/sources/115_mentre_madonna_il_lasso_fianco_posa__02_gesualdo_mentre_madonna_il_lasso_fianco_posa.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/115_mentre_madonna_il_lasso_fianco_posa.musicxml	0	ok	
116	Secular works for five voices	Mentre, mia stella, miri	string_quartet	data/cpdl/5-voices/sources/116_mentre_mia_stella_miri__01_gesualdo_mentre_mia_stella_miri.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/116_mentre_mia_stella_miri.musicxml	0	ok	
117	Secular works for five voices	Meraviglia d'Amore	string_quartet	data/cpdl/5-voices/sources/117_meraviglia_d_amore__01_gesualdo_meraviglia_d_amore.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/117_meraviglia_d_amore.musicxml	0	ok	
118	Secular works for five voices	Mercè grido piangendo	string_quartet	data/cpdl/5-voices/sources/118_merce_grido_piangendo__02_gesu_11me.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/118_merc_grido_piangendo.musicxml	0	ok	
119	Secular works for five voices	Mille volte il di	string_quartet	data/cpdl/5-voices/sources/119_mille_volte_il_di__02_mille_volte_il_di_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/119_mille_volte_il_di.musicxml	2	ok	
120	Secular works for five voices	Moro, e mentre sospiro	string_quartet	data/cpdl/5-voices/sources/120_moro_e_mentre_sospiro__02_moro_e_mentre_sospiro_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/120_moro_e_mentre_sospiro.musicxml	2	ok	
121	Secular works for five voices	Moro, lasso, al mio duolo	string_quartet	data/cpdl/5-voices/sources/121_moro_lasso_al_mio_duolo__02_moro_lasso_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/121_moro_lasso_al_mio_duolo.musicxml	0	ok	
123	Secular works for five voices	Non mai non cangerò stato	string_quartet	data/cpdl/5-voices/sources/123_non_mai_non_cangero_stato__02_gesualdo_non_mai_non_cangero.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/123_non_mai_non_canger_stato.musicxml	2	ok	
124	Secular works for five voices	Non mi toglia il ben mio	string_quartet	data/cpdl/5-voices/sources/124_non_mi_toglia_il_ben_mio__01_gesualdo_nonmitoglia.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/124_non_mi_toglia_il_ben_mio.musicxml	-1	ok	
125	Secular works for five voices	Non mirar, non mirare	string_quartet	data/cpdl/5-voices/sources/125_non_mirar_non_mirare__01_gesualdo_non_mirar_non_mirare.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/125_non_mirar_non_mirare.musicxml	0	ok	
126	Secular works for five voices	Non t'amo, o voce ingrata	string_quartet				data/cpdl/5-voices/reductions/string_quartet/126_non_t_amo_o_voce_ingrata.musicxml		error	data/cpdl/126_non_t_amo_o_voce_ingrata__01_gesualdo_non_t_amo_o_voce_ingrata.mxl: reduction failed: Violin I has overlapping source events near measure 6: p0:e7
127	Secular works for five voices	Non è questa la mano	string_quartet	data/cpdl/5-voices/sources/127_non_e_questa_la_mano__01_gesualdo_non_e_questa_la_mano.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/127_non_questa_la_mano.musicxml	0	ok	
128	Secular works for five voices	O com'è gran martire	string_quartet	data/cpdl/5-voices/sources/128_o_com_e_gran_martire__01_gesualdo_o_com_e_gran_martire.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/128_o_com_gran_martire.musicxml	0	ok	
129	Secular works for five voices	O dolce mio martire	string_quartet	data/cpdl/5-voices/sources/129_o_dolce_mio_martire__01_gesualdo_o_dolce_mio_martire.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/129_o_dolce_mio_martire.musicxml	0	ok	
130	Secular works for five voices	O dolce mio tesoro	string_quartet	data/cpdl/5-voices/sources/130_o_dolce_mio_tesoro__02_o_dolce_mio_tesoro_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/130_o_dolce_mio_tesoro.musicxml	0	ok	
131	Secular works for five voices	O dolorosa gioia	string_quartet	data/cpdl/5-voices/sources/131_o_dolorosa_gioia__02_gesu_5odo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/131_o_dolorosa_gioia.musicxml	2	ok	
132	Secular works for five voices	O mal nati messagi	string_quartet	data/cpdl/5-voices/sources/132_o_mal_nati_messagi__02_o_mal_nati_messagi_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/132_o_mal_nati_messagi.musicxml	-1	ok	
134	Secular works for five voices	O tenebroso giorno	string_quartet	data/cpdl/5-voices/sources/134_o_tenebroso_giorno__02_gesu_19ote.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/134_o_tenebroso_giorno.musicxml	2	ok	
135	Secular works for five voices	O voi troppo felici	string_quartet	data/cpdl/5-voices/sources/135_o_voi_troppo_felici__02_gesu_12ovoi.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/135_o_voi_troppo_felici.musicxml	0	ok	
136	Secular works for five voices	Occhi del mio cor vita	string_quartet	data/cpdl/5-voices/sources/136_occhi_del_mio_cor_vita__02_gesu_9occhisattb.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/136_occhi_del_mio_cor_vita.musicxml	1	ok	
137	Secular works for five voices	Or, che in gioia	string_quartet	data/cpdl/5-voices/sources/137_or_che_in_gioia__02_or_che_in_gioia_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/137_or_che_in_gioia.musicxml	0	ok	
138	Secular works for five voices	Poichè l'avida sete	string_quartet	data/cpdl/5-voices/sources/138_poiche_l_avida_sete__02_gesu_17poi.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/138_poich_l_avida_sete.musicxml	2	ok	
139	Secular works for five voices	Qual fora, donna	string_quartet	data/cpdl/5-voices/sources/139_qual_fora_donna__02_gesu_6qu.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/139_qual_fora_donna.musicxml	0	ok	
140	Secular works for five voices	Quando l'alba novella	string_quartet	data/cpdl/5-voices/sources/140_quando_l_alba_novella__02_gesualdo_quando_l_alba_novella.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/140_quando_l_alba_novella.musicxml	2	ok	
141	Secular works for five voices	Quando ridente e bella	string_quartet	data/cpdl/5-voices/sources/141_quando_ridente_e_bella__02_quando_ridente_e_bella_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/141_quando_ridente_e_bella.musicxml	-1	ok	
143	Secular works for five voices	Quel 'no' crudel che la mia speme ancise	string_quartet	data/cpdl/5-voices/sources/143_quel_no_crudel_che_la_mia_speme_ancise__02_quel_no_crudel_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/143_quel_no_crudel_che_la_mia_speme_ancise.musicxml	0	ok	
144	Secular works for five voices	Questa crudele e pia	string_quartet	data/cpdl/5-voices/sources/144_questa_crudele_e_pia__02_questa_crudele_et_pia_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet/144_questa_crudele_e_pia.musicxml	0	ok	
