work_index	section	work_title	target	source_path	source_format	source_parts	output_path	global_transposition	status	error
73	Secular works for five voices	Bella Angioletta	string_quartet_plus_viole	data/cpdl/5-voices/sources/073_bella_angioletta__01_gesualdo_bella_angioletta.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/073_bella_angioletta.musicxml	0	ok	
74	Secular works for five voices	Beltà poi che t'assenti	string_quartet_plus_viole	data/cpdl/5-voices/sources/074_belta_poi_che_t_assenti__02_belta_poi_che_t_assenti.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/074_belt_poi_che_t_assenti.musicxml	4	ok	
75	Secular works for five voices	Candida man qual neve	string_quartet_plus_viole	data/cpdl/5-voices/sources/075_candida_man_qual_neve__02_gesualdo_candida_man_qual_neve.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/075_candida_man_qual_neve.musicxml	0	ok	
76	Secular works for five voices	Candido e verde fiore	string_quartet_plus_viole	data/cpdl/5-voices/sources/076_candido_e_verde_fiore__02_candido_e_verde_fiore_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/076_candido_e_verde_fiore.musicxml	0	ok	
77	Secular works for five voices	Caro amoroso neo	string_quartet_plus_viole	data/cpdl/5-voices/sources/077_caro_amoroso_neo__01_gesualdo_caro_amoroso_neo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/077_caro_amoroso_neo.musicxml	0	ok	
78	Secular works for five voices	Che fai meco	string_quartet_plus_viole	data/cpdl/5-voices/sources/078_che_fai_meco__02_che_fai_meco_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/078_che_fai_meco.musicxml	2	ok	
79	Secular works for five voices	Che sentir deve il petto mio	string_quartet_plus_viole	data/cpdl/5-voices/sources/079_che_sentir_deve_il_petto_mio__01_5_che_sentir_deve.mid	mid	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/079_che_sentir_deve_il_petto_mio.musicxml	2	ok	
80	Secular works for five voices	Chiaro risplender suole	string_quartet_plus_viole	data/cpdl/5-voices/sources/080_chiaro_risplender_suole__02_chiaro_risplender_suole_gesualdo.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/080_chiaro_risplender_suole.musicxml	0	ok	
81	Secular works for five voices	Com'esser può ch'io viva	string_quartet_plus_viole	data/cpdl/5-voices/sources/081_com_esser_puo_ch_io_viva__01_gesualdo_come_esser_puo_ch_io_viva.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/081_com_esser_pu_ch_io_viva.musicxml	2	ok	
82	Secular works for five voices	Come vivrai cor mio	string_quartet_plus_viole	data/cpdl/5-voices/sources/082_come_vivrai_cor_mio__02_gesualdo_come_vivrai_cor_mio.mxl	mxl	5	data/cpdl/5-voices/reductions/string_quartet_plus_viole/082_come_vivrai_cor_mio.musicxml	0	ok	
