book	title	filename	parts	duration_quarters	chosen_semitones	transposition_score	status	output	reduced_parts	measures_per_part	error
IV	16-17. Ecco, morirò dunque	gesualdo_iv_libro_madrigali_16-17_(c)icking-archive.mid	5	320.0	1	0.348933	ok	gesualdo_iv_libro_madrigali_16-17_(c)icking-archive_quartet_plus_viole.musicxml	5	80,80,80,80,80	none
IV	18. Arde il mio cor	gesualdo_iv_libro_madrigali_18_(c)icking-archive.mid	5	224.0	1	0.265747	ok	gesualdo_iv_libro_madrigali_18_(c)icking-archive_quartet_plus_viole.musicxml	5	56,56,56,56,56	none
IV	19. Se chiudete nel core	gesualdo_iv_libro_madrigali_19_(c)icking-archive.mid	5	212.0	0	0.298128	ok	gesualdo_iv_libro_madrigali_19_(c)icking-archive_quartet_plus_viole.musicxml	5	53,53,53,53,53	none
VI	1. Se la mia morte brami	gesualdo_vi_libro_madrigali_1_(c)icking-archive.mid	5	392.0	2	0.329964	ok	gesualdo_vi_libro_madrigali_1_(c)icking-archive_quartet_plus_viole.musicxml	5	98,98,98,98,98	none
VI	2. Beltà poi che tassenti	gesualdo_vi_libro_madrigali_2_(c)icking-archive.mid	5	328.0	1	0.420042	ok	gesualdo_vi_libro_madrigali_2_(c)icking-archive_quartet_plus_viole.musicxml	5	82,82,82,82,82	none
VI	3. Tu piangi, o filli mia	gesualdo_vi_libro_madrigali_3_(c)icking-archive.mid	5	320.0	2	0.349252	ok	gesualdo_vi_libro_madrigali_3_(c)icking-archive_quartet_plus_viole.musicxml	5	80,80,80,80,80	none
VI	4. Resta di darmi noia	gesualdo_vi_libro_madrigali_4_(c)icking-archive.mid	5	296.0	1	0.446265	ok	gesualdo_vi_libro_madrigali_4_(c)icking-archive_quartet_plus_viole.musicxml	5	74,74,74,74,74	none
VI	5. Chiaro risplender suole	gesualdo_vi_libro_madrigali_5_(c)icking-archive.mid	5	384.0	1	0.343885	ok	gesualdo_vi_libro_madrigali_5_(c)icking-archive_quartet_plus_viole.musicxml	5	96,96,96,96,96	none
VI	6. Io parto e non più dissi	gesualdo_vi_libro_madrigali_6_(c)icking-archive.mid	5	296.0	4	0.334845	ok	gesualdo_vi_libro_madrigali_6_(c)icking-archive_quartet_plus_viole.musicxml	5	74,74,74,74,74	none
VI	7. Mille volte il di	gesualdo_vi_libro_madrigali_7_(c)icking-archive.mid	5	328.0	2	0.389762	ok	gesualdo_vi_libro_madrigali_7_(c)icking-archive_quartet_plus_viole.musicxml	5	82,82,82,82,82	none
VI	8. O Dolce mio tesoro	gesualdo_vi_libro_madrigali_8_(c)icking-archive.mid	5	280.0	0	0.316692	ok	gesualdo_vi_libro_madrigali_8_(c)icking-archive_quartet_plus_viole.musicxml	5	70,70,70,70,70	none
VI	9. Deh, come invan sospiro	gesualdo_vi_libro_madrigali_9_(c)icking-archive.mid	5	292.0	2	0.303463	ok	gesualdo_vi_libro_madrigali_9_(c)icking-archive_quartet_plus_viole.musicxml	5	73,73,73,73,73	none
VI	10.  Io pur respiro in così gran dolore	gesualdo_vi_libro_madrigali_10_(c)icking-archive.mid	5	264.0	0	0.269546	ok	gesualdo_vi_libro_madrigali_10_(c)icking-archive_quartet_plus_viole.musicxml	5	66,66,66,66,66	none
VI	11. Alme dAmor rubelle	gesualdo_vi_libro_madrigali_11_(c)icking-archive.mid	5	196.0	-1	0.385274	ok	gesualdo_vi_libro_madrigali_11_(c)icking-archive_quartet_plus_viole.musicxml	5	49,49,49,49,49	none
VI	12. Càndido e verde fiore	gesualdo_vi_libro_madrigali_12_(c)icking-archive.mid	5	200.0	1	0.420832	ok	gesualdo_vi_libro_madrigali_12_(c)icking-archive_quartet_plus_viole.musicxml	5	50,50,50,50,50	none
VI	13. Ardita Zanzaretta	gesualdo_vi_libro_madrigali_13_(c)icking-archive.mid	5	300.0	3	0.310932	ok	gesualdo_vi_libro_madrigali_13_(c)icking-archive_quartet_plus_viole.musicxml	5	75,75,75,75,75	none
VI	14. Ardo per te, mio bene	gesualdo_vi_libro_madrigali_14_(c)icking-archive.mid	5	328.0	3	0.365446	ok	gesualdo_vi_libro_madrigali_14_(c)icking-archive_quartet_plus_viole.musicxml	5	82,82,82,82,82	none
VI	15. Ancide sol la morte	gesualdo_vi_libro_madrigali_15_(c)icking-archive.mid	5	240.0	1	0.375382	ok	gesualdo_vi_libro_madrigali_15_(c)icking-archive_quartet_plus_viole.musicxml	5	60,60,60,60,60	none
VI	16. Quel no crudel que la mia speme ancise	gesualdo_vi_libro_madrigali_16_(c)icking-archive.mid	5	244.0	1	0.403557	ok	gesualdo_vi_libro_madrigali_16_(c)icking-archive_quartet_plus_viole.musicxml	5	61,61,61,61,61	none
VI	17. Moro, lasso, al mio duolo	gesualdo_vi_libro_madrigali_17_(c)icking-archive.mid	5	344.0	1	0.302545	ok	gesualdo_vi_libro_madrigali_17_(c)icking-archive_quartet_plus_viole.musicxml	5	86,86,86,86,86	none
VI	18. Volan quasi farfalle	gesualdo_vi_libro_madrigali_18_(c)icking-archive.mid	5	288.0	1	0.450905	ok	gesualdo_vi_libro_madrigali_18_(c)icking-archive_quartet_plus_viole.musicxml	5	72,72,72,72,72	none
VI	19. Al mio gioir il ciel si fa sereno	gesualdo_vi_libro_madrigali_19_(c)icking-archive.mid	5	249.0	1	0.411326	ok	gesualdo_vi_libro_madrigali_19_(c)icking-archive_quartet_plus_viole.musicxml	5	63,63,63,63,63	none
VI	20. Tu segui, o bella Clori	gesualdo_vi_libro_madrigali_20_(c)icking-archive.mid	5	236.0	3	0.397194	ok	gesualdo_vi_libro_madrigali_20_(c)icking-archive_quartet_plus_viole.musicxml	5	59,59,59,59,59	none
VI	21. Ancor che per amarti	gesualdo_vi_libro_madrigali_21_(c)icking-archive.mid	5	336.0	1	0.294503	ok	gesualdo_vi_libro_madrigali_21_(c)icking-archive_quartet_plus_viole.musicxml	5	84,84,84,84,84	none
VI	22. Già piansi nel dolore	gesualdo_vi_libro_madrigali_22_(c)icking-archive.mid	5	230.0	2	0.300306	ok	gesualdo_vi_libro_madrigali_22_(c)icking-archive_quartet_plus_viole.musicxml	5	58,58,58,58,58	none
VI	23. Quando ridente e bella	gesualdo_vi_libro_madrigali_23_(c)icking-archive.mid	5	253.0	-1	0.361810	ok	gesualdo_vi_libro_madrigali_23_(c)icking-archive_quartet_plus_viole.musicxml	5	64,64,64,64,64	none
