book	title	filename	direct_url
VI	3. Tu piangi, o filli mia	gesualdo_vi_libro_madrigali_3_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_3_(c)icking-archive.mid
VI	4. Resta di darmi noia	gesualdo_vi_libro_madrigali_4_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_4_(c)icking-archive.mid
VI	5. Chiaro risplender suole	gesualdo_vi_libro_madrigali_5_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_5_(c)icking-archive.mid
VI	6. Io parto e non più dissi	gesualdo_vi_libro_madrigali_6_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_6_(c)icking-archive.mid
VI	7. Mille volte il di	gesualdo_vi_libro_madrigali_7_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_7_(c)icking-archive.mid
VI	8. O Dolce mio tesoro	gesualdo_vi_libro_madrigali_8_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_8_(c)icking-archive.mid
VI	9. Deh, come invan sospiro	gesualdo_vi_libro_madrigali_9_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_9_(c)icking-archive.mid
VI	10.  Io pur respiro in così gran dolore	gesualdo_vi_libro_madrigali_10_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_10_(c)icking-archive.mid
VI	11. Alme dAmor rubelle	gesualdo_vi_libro_madrigali_11_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_11_(c)icking-archive.mid
VI	12. Càndido e verde fiore	gesualdo_vi_libro_madrigali_12_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_12_(c)icking-archive.mid
VI	13. Ardita Zanzaretta	gesualdo_vi_libro_madrigali_13_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_13_(c)icking-archive.mid
VI	14. Ardo per te, mio bene	gesualdo_vi_libro_madrigali_14_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_14_(c)icking-archive.mid
VI	15. Ancide sol la morte	gesualdo_vi_libro_madrigali_15_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_15_(c)icking-archive.mid
VI	16. Quel no crudel que la mia speme ancise	gesualdo_vi_libro_madrigali_16_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_16_(c)icking-archive.mid
VI	17. Moro, lasso, al mio duolo	gesualdo_vi_libro_madrigali_17_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_17_(c)icking-archive.mid
VI	18. Volan quasi farfalle	gesualdo_vi_libro_madrigali_18_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_18_(c)icking-archive.mid
VI	19. Al mio gioir il ciel si fa sereno	gesualdo_vi_libro_madrigali_19_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_19_(c)icking-archive.mid
VI	20. Tu segui, o bella Clori	gesualdo_vi_libro_madrigali_20_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_20_(c)icking-archive.mid
VI	21. Ancor che per amarti	gesualdo_vi_libro_madrigali_21_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_21_(c)icking-archive.mid
VI	22. Già piansi nel dolore	gesualdo_vi_libro_madrigali_22_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_22_(c)icking-archive.mid
VI	23. Quando ridente e bella	gesualdo_vi_libro_madrigali_23_(c)icking-archive.mid	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_23_(c)icking-archive.mid
