book	title	source_path	quartet_musicxml	quartet_mp3	direct_url
VI	14. Ardo per te, mio bene	data/kdf/book6/sources/book6_14_ardo_per_te_mio_bene.mid	data/kdf/book6/reductions/string_quartet/book6_14_ardo_per_te_mio_bene.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_14_ardo_per_te_mio_bene.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_14_(c)icking-archive.mid
VI	15. Ancide sol la morte	data/kdf/book6/sources/book6_15_ancide_sol_la_morte.mid	data/kdf/book6/reductions/string_quartet/book6_15_ancide_sol_la_morte.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_15_ancide_sol_la_morte.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_15_(c)icking-archive.mid
VI	16. Quel no crudel que la mia speme ancise	data/kdf/book6/sources/book6_16_quel_no_crudel_que_la_mia_speme_ancise.mid	data/kdf/book6/reductions/string_quartet/book6_16_quel_no_crudel_que_la_mia_speme_ancise.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_16_quel_no_crudel_que_la_mia_speme_ancise.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_16_(c)icking-archive.mid
VI	17. Moro, lasso, al mio duolo	data/kdf/book6/sources/book6_17_moro_lasso_al_mio_duolo.mid	data/kdf/book6/reductions/string_quartet/book6_17_moro_lasso_al_mio_duolo.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_17_moro_lasso_al_mio_duolo.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_17_(c)icking-archive.mid
VI	18. Volan quasi farfalle	data/kdf/book6/sources/book6_18_volan_quasi_farfalle.mid	data/kdf/book6/reductions/string_quartet/book6_18_volan_quasi_farfalle.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_18_volan_quasi_farfalle.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_18_(c)icking-archive.mid
VI	19. Al mio gioir il ciel si fa sereno	data/kdf/book6/sources/book6_19_al_mio_gioir_il_ciel_si_fa_sereno.mid	data/kdf/book6/reductions/string_quartet/book6_19_al_mio_gioir_il_ciel_si_fa_sereno.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_19_al_mio_gioir_il_ciel_si_fa_sereno.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_19_(c)icking-archive.mid
VI	20. Tu segui, o bella Clori	data/kdf/book6/sources/book6_20_tu_segui_o_bella_clori.mid	data/kdf/book6/reductions/string_quartet/book6_20_tu_segui_o_bella_clori.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_20_tu_segui_o_bella_clori.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_20_(c)icking-archive.mid
VI	21. Ancor che per amarti	data/kdf/book6/sources/book6_21_ancor_che_per_amarti.mid	data/kdf/book6/reductions/string_quartet/book6_21_ancor_che_per_amarti.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_21_ancor_che_per_amarti.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_21_(c)icking-archive.mid
VI	22. Già piansi nel dolore	data/kdf/book6/sources/book6_22_gia_piansi_nel_dolore.mid	data/kdf/book6/reductions/string_quartet/book6_22_gia_piansi_nel_dolore.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_22_gia_piansi_nel_dolore.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_22_(c)icking-archive.mid
VI	23. Quando ridente e bella	data/kdf/book6/sources/book6_23_quando_ridente_e_bella.mid	data/kdf/book6/reductions/string_quartet/book6_23_quando_ridente_e_bella.musicxml	data/kdf/book6/renders/string_quartet_mp3/book6_23_quando_ridente_e_bella.mp3	https://kunstderfuge.com/-/mid.files/2/gesualdo_vi_libro_madrigali_23_(c)icking-archive.mid
